@relation LinkDisambiguator

@attribute occurances numeric
@attribute maxDisambigConfidence numeric
@attribute avgDisambigConfidence numeric
@attribute relatednessToContext numeric
@attribute relatednessToOtherTopics numeric
@attribute maxLinkProbability numeric
@attribute avgLinkProbability numeric
@attribute generality numeric
@attribute firstOccurance numeric
@attribute lastOccurance numeric
@attribute spread numeric
@attribute isValidLink {TRUE,FALSE}

@data
1.098612,0.408971,0.408971,0.157926,0.199732,0.044318,0.044318,?,0.221625,0.225033,0.003408,FALSE
0.693147,0.441326,0.441326,0.42496,0.406142,0.011111,0.011111,0.5,0.005636,0.005636,0,FALSE
0.693147,0.408971,0.408971,0.123489,0.081849,0.028918,0.028918,?,0.092792,0.092792,0,FALSE
1.098612,0.951811,0.951811,0.303905,0.312407,0.02238,0.014112,0.8125,0.534993,0.536435,0.001442,FALSE
2.197225,0.952157,0.952157,0.68399,0.572524,0.5,0.442308,0.625,0.400524,0.646003,0.245478,TRUE
0.693147,0.952157,0.952157,0.655634,0.517902,0.061224,0.061224,0.5625,0.136304,0.136304,0,TRUE
0.693147,0.408971,0.408971,0,0.010057,0.011123,0.011123,0.6875,0.992005,0.992005,0,FALSE
1.386294,0.951811,0.951811,0.285934,0.306107,0.211968,0.211968,?,0.039843,0.983748,0.943906,FALSE
1.098612,0.952157,0.952157,0.534824,0.458593,0.467532,0.30093,0.625,0.751507,0.751507,0,TRUE
0.693147,0.394784,0.394784,0.237331,0.287481,0.031802,0.031802,?,0.242333,0.242333,0,FALSE
1.098612,0.952157,0.952157,0.69293,0.540185,0.5,0.27381,?,0.695544,0.696592,0.001048,TRUE
0.693147,0.951811,0.951811,0.287019,0.300684,0.573643,0.573643,?,0.557012,0.557012,0,FALSE
1.609438,0.952157,0.952157,0.394596,0.401076,0.037801,0.030998,0.8125,0.172346,0.349279,0.176933,FALSE
0.693147,0.408971,0.408971,0,0.054517,0.125,0.125,0.6875,0.951638,0.951638,0,FALSE
1.098612,0.952157,0.952157,0.621348,0.513404,0.378947,0.378947,?,0.50865,0.525295,0.016645,TRUE
1.098612,0.508971,0.508971,0.206178,0.166963,0.054264,0.054264,?,0.50865,0.525295,0.016645,FALSE
3.135494,0.951811,0.951811,0.316352,0.44375,0.716411,0.57193,0.625,0.006684,0.99017,0.983486,TRUE
0.693147,0.951811,0.951811,0.310014,0.203537,0.011111,0.011111,0.8125,0.32097,0.32097,0,FALSE
1.098612,0.952157,0.952157,0.616137,0.507148,0.454545,0.289773,0.5,0.690039,0.802228,0.112189,TRUE
0.693147,0.915588,0.915588,0.528463,0.420751,0.006856,0.006856,?,0.00983,0.00983,0,TRUE
3.178054,0.408971,0.408971,0.056246,0.066241,0.07992,0.07992,0.6875,0.000393,0.956488,0.956094,FALSE
0.693147,0.952157,0.952157,0.435076,0.383771,0.531899,0.531899,?,0.19017,0.19017,0,FALSE
0.693147,0.952157,0.952157,0.446648,0.426214,0.497807,0.497807,0.4375,0.505374,0.505374,0,TRUE
0.693147,0.952157,0.952157,0.629166,0.504264,0.629909,0.629909,?,0.824246,0.824246,0,TRUE
0.693147,0.952157,0.952157,0.707616,0.557702,0.354167,0.354167,0.6875,0.33709,0.33709,0,TRUE
0.693147,0.952157,0.952157,0.492329,0.428548,0.403042,0.403042,?,0.466317,0.466317,0,FALSE
0.693147,0.594784,0.594784,0.215668,0.310603,0.331461,0.331461,0.625,0.922412,0.922412,0,FALSE
0.693147,0.408971,0.408971,0.072794,0.124397,0.021978,0.021978,0.875,0.907995,0.907995,0,FALSE
1.098612,0.952157,0.952157,0.438379,0.356127,0.29402,0.29402,?,0.447313,0.456356,0.009043,FALSE
0.693147,0.408971,0.408971,0.11335,0.107706,0.048554,0.048554,0.75,0.906684,0.906684,0,FALSE
1.098612,0.952157,0.952157,0.386588,0.335228,0.284256,0.284256,?,0.494102,0.529751,0.035649,FALSE
1.098612,0.952157,0.952157,0.524568,0.460718,0.217726,0.217726,0.6875,0.152556,0.862123,0.709567,TRUE
0.693147,0.952157,0.952157,0.389329,0.364503,0.266756,0.266756,?,0.544954,0.544954,0,FALSE
0.693147,0.952157,0.952157,0.392156,0.360134,0.255419,0.255419,?,0.659764,0.659764,0,FALSE
0.693147,0.956059,0.956059,0.325913,0.320706,0.122922,0.122922,0.8125,0.403932,0.403932,0,FALSE
1.098612,0.952157,0.952157,0.550579,0.498959,0.349835,0.349835,0.5,0.850721,0.856225,0.005505,TRUE
0.693147,0.952157,0.952157,0.655989,0.522941,0.333333,0.333333,?,0.362779,0.362779,0,TRUE
1.94591,0.851811,0.851811,0.296404,0.34629,0.013663,0.013663,?,0.37772,0.761075,0.383355,FALSE
3.135494,0.408971,0.408971,0.13366,0.219249,0.005145,0.005145,0.5625,0.102883,0.982962,0.880079,FALSE
0.693147,0.594784,0.594784,0.223148,0.247536,0.027365,0.027365,0.75,0.244823,0.244823,0,FALSE
0.693147,0.408971,0.408971,0.020905,0.16859,0.011807,0.011807,0.75,0.184666,0.184666,0,FALSE
1.609438,0.951811,0.926811,0.311467,0.319759,0.025812,0.02056,0.75,0.389122,0.94692,0.557798,FALSE
2.197225,0.952157,0.943015,0.698153,0.584728,0.538462,0.217157,?,0.37903,0.434862,0.055832,TRUE
1.098612,0.952157,0.584988,0.337448,0.341419,0.504525,0.255853,0.625,0.317038,0.915858,0.59882,FALSE
0.693147,0.408971,0.408971,0.113746,0.105684,0.334862,0.334862,0.625,0.038401,0.038401,0,FALSE
2.079442,0.952157,0.952157,0.646817,0.567413,0.45,0.20566,0.75,0.143775,0.542464,0.398689,TRUE
0.693147,0.952157,0.952157,0.679216,0.560631,0.566667,0.566667,0.5625,0.816514,0.816514,0,TRUE
0.693147,0.952157,0.952157,0.345694,0.281824,0.045205,0.045205,0.5625,0.330537,0.330537,0,FALSE
0.693147,0.952157,0.952157,0.72469,0.599247,0.775,0.775,0.625,0.3346,0.3346,0,TRUE
1.098612,0.951811,0.951811,0.281119,0.268597,0.010956,0.010956,0.5625,0.52844,0.922674,0.394233,FALSE
1.098612,0.952157,0.952157,0.62632,0.515546,0.492308,0.492308,?,0.610485,0.843775,0.23329,TRUE
0.693147,0.952157,0.952157,0.386513,0.354598,0.08516,0.08516,0.75,0.581651,0.581651,0,FALSE
0.693147,0.951811,0.951811,0.313941,0.316657,0.039485,0.039485,0.5625,0.038663,0.038663,0,FALSE
1.609438,0.408971,0.408971,0.060662,0.081222,0.042126,0.018709,0.875,0.144692,0.541547,0.396855,FALSE
0.693147,0.952157,0.952157,0.642924,0.505138,1,1,?,0.742726,0.742726,0,TRUE
0.693147,0.408971,0.408971,0,0.05992,0.008086,0.008086,0.4375,0.602228,0.602228,0,FALSE
0.693147,0.301798,0.301798,0.512068,0.208431,0.095023,0.095023,?,0.682569,0.682569,0,FALSE
0.693147,0.952157,0.952157,0.458635,0.376674,0.25,0.25,?,0.695544,0.695544,0,FALSE
0.693147,0.408971,0.408971,0.066023,0.087669,0.010288,0.010288,0.8125,0.199869,0.199869,0,FALSE
0.693147,0.952157,0.952157,0.665013,0.528439,1,1,?,0.726999,0.726999,0,TRUE
2.302585,0.915588,0.915588,0.555153,0.485369,0.165049,0.165049,0.5625,0.016514,0.846265,0.829751,TRUE
0.693147,0.408971,0.408971,0.158134,0.115795,0.032706,0.032706,0.75,0.607995,0.607995,0,FALSE
0.693147,0.952157,0.952157,0.44724,0.403923,0.329797,0.329797,0.625,0.330144,0.330144,0,FALSE
1.94591,0.408971,0.408971,0.144818,0.172726,0.031522,0.031522,0.625,0.488467,0.901573,0.413106,FALSE
0.693147,0.408971,0.408971,0.067914,0.05597,0.251082,0.251082,0.625,0.138532,0.138532,0,FALSE
0.693147,0.952157,0.952157,0.636939,0.484888,0.166667,0.166667,0.5625,0.133159,0.133159,0,TRUE
0.693147,0.408971,0.408971,0,0.056171,0.030075,0.030075,?,0.135518,0.135518,0,FALSE
0.693147,0.951811,0.951811,0.310605,0.304904,0.636074,0.636074,0.5,0.49135,0.49135,0,TRUE
1.098612,0.408971,0.408971,0.016182,0.028698,0.008193,0.008193,0.875,0.367366,0.617693,0.250328,FALSE
0.693147,0.915588,0.915588,0.606142,0.487463,0.136905,0.136905,?,0.560288,0.560288,0,TRUE
0.693147,0.408971,0.408971,0.060992,0.055523,0.024017,0.024017,0.75,0.899476,0.899476,0,FALSE
1.098612,0.408971,0.408971,0,0.036901,0.028777,0.028777,?,0.054653,0.061075,0.006422,FALSE
0.693147,0.408971,0.408971,0,0,0.06135,0.06135,?,0.878899,0.878899,0,FALSE
0.693147,0.594784,0.594784,0.249104,0.272541,0.018659,0.018659,0.8125,0.13709,0.13709,0,FALSE
0.693147,0.408971,0.408971,0.111374,0.06116,0.014706,0.014706,0.8125,0.156488,0.156488,0,FALSE
0.693147,0.915588,0.915588,0.6067,0.516117,0.135135,0.135135,?,0.315596,0.315596,0,TRUE
0.693147,0.408971,0.408971,0,0.024193,0.065421,0.065421,?,0.402883,0.402883,0,FALSE
1.098612,0.36033,0.36033,0.340269,0.342415,0.026746,0.026746,?,0.55426,0.557012,0.002752,FALSE
1.098612,0.408971,0.408971,0.163053,0.184715,0.017127,0.017127,0.6875,0.169201,0.233552,0.064351,FALSE
0.693147,0.594784,0.594784,0.251258,0.259326,0.04753,0.04753,0.75,0.092005,0.092005,0,FALSE
0.693147,0.408971,0.408971,0.028963,0.073195,0.007621,0.007621,0.75,0.35426,0.35426,0,FALSE
1.098612,0.952157,0.933872,0.553003,0.454497,0.181818,0.099334,0.75,0.617693,0.618873,0.00118,TRUE
0.693147,0.308971,0.308971,0.095375,0.112143,0.021004,0.021004,0.5,0.527654,0.527654,0,FALSE
1.098612,0.198494,0.198494,0.223565,0.276635,0.008911,0.008911,0.6875,0.509436,0.526081,0.016645,FALSE
1.386294,0.952157,0.952157,0.541049,0.459991,0.311905,0.260377,0.625,0.023067,0.988991,0.965924,FALSE
0.693147,0.408971,0.408971,0,0.022701,0.028596,0.028596,?,0.218873,0.218873,0,FALSE
1.386294,0.952157,0.952157,0.618471,0.5531,0.430108,0.304054,?,0.02228,0.988204,0.965924,TRUE
0.693147,0.694784,0.694784,0.259025,0.28914,0.018657,0.018657,0.375,0.355963,0.355963,0,FALSE
0.693147,0.594784,0.594784,0.238872,0.150143,0.05866,0.05866,0.75,0.064744,0.064744,0,FALSE
1.386294,0.408971,0.408971,0.155511,0.194125,0.008385,0.00667,0.8125,0.110092,0.754653,0.644561,FALSE
0.693147,0.778118,0.778118,0.263639,0.287827,0.009419,0.009419,0.6875,0.090957,0.090957,0,FALSE
0.693147,0.408971,0.408971,0.087951,0.081248,0.046053,0.046053,?,0.042071,0.042071,0,FALSE
0.693147,0.952157,0.952157,0.46003,0.360211,0.066667,0.066667,?,0.965793,0.965793,0,FALSE
1.098612,0.408971,0.408971,0.14272,0.103186,0.052174,0.052174,0.75,0.217431,0.650066,0.432634,FALSE
0.693147,0.951811,0.951811,0.285879,0.32626,0.043627,0.043627,0.8125,0.573526,0.573526,0,FALSE
1.386294,0.952157,0.952157,0.504841,0.428658,0.270382,0.270382,?,0.624377,0.709174,0.084797,FALSE
1.386294,0.408971,0.408971,0.157892,0.220322,0.009881,0.009881,0.8125,0.052163,0.937615,0.885452,FALSE
0.693147,0.952157,0.952157,0.439582,0.345375,0.261997,0.261997,?,0.722805,0.722805,0,FALSE
1.098612,0.951811,0.951811,0.315888,0.317117,0.238836,0.238836,?,0.747313,0.970642,0.223329,FALSE
1.386294,0.408971,0.408971,0.074708,0.110419,0.006452,0.006452,0.625,0.143775,0.540629,0.396855,FALSE
1.098612,0.952157,0.952157,0.393584,0.382949,0.260259,0.260259,?,0.731324,0.976409,0.245085,FALSE
0.693147,0.952157,0.952157,0.438068,0.381399,0.251754,0.251754,?,0.799738,0.799738,0,FALSE
1.098612,0.408971,0.408971,0.026237,0.045005,0.055856,0.055856,0.4375,0.965793,0.971429,0.005636,FALSE
0.693147,0.408971,0.408971,0,0,0.008191,0.008191,0.6875,0.882962,0.882962,0,FALSE
0.693147,0.952157,0.952157,0.526375,0.437395,0.091367,0.091367,0.6875,0.603145,0.603145,0,TRUE
0.693147,0.856059,0.856059,0.336592,0.337688,0.232084,0.232084,?,0.923984,0.923984,0,FALSE
0.693147,0.408971,0.408971,0.024089,0.057945,0.037338,0.037338,0.625,0.6,0.6,0,FALSE
0.693147,0.952157,0.952157,0.60724,0.484779,0.294118,0.294118,0.75,0.161206,0.161206,0,TRUE
1.386294,0.952157,0.952157,0.623798,0.520406,0.736,0.378667,?,0.033028,0.979948,0.94692,TRUE
0.693147,0.408971,0.408971,0.047727,0.074921,0.007424,0.007424,0.75,0.198165,0.198165,0,FALSE
1.098612,0.952157,0.952157,0.549903,0.498086,0.201201,0.11147,0.75,0.482307,0.485714,0.003408,TRUE
