Document;Precision;Recall;F-measure
Document0;0.6818181818181818;0.625;0.6521739130434783
Document1;0.45454545454545453;0.5;0.47619047619047616
Document2;0.6153846153846154;0.5333333333333333;0.5714285714285715
Document3;0.5909090909090909;0.4642857142857143;0.52
Document4;0.42857142857142855;0.42857142857142855;0.42857142857142855
Document5;0.5833333333333334;0.5833333333333334;0.5833333333333334
Document6;0.75;0.5294117647058824;0.6206896551724139
Document7;0.46153846153846156;0.375;0.41379310344827586
Document8;0.47058823529411764;0.5333333333333333;0.5
Document9;0.625;0.5555555555555556;0.5882352941176471
Document10;0.8571428571428571;0.75;0.7999999999999999
Document11;0.6363636363636364;0.5384615384615384;0.5833333333333334
Document12;0.6666666666666666;0.7272727272727273;0.6956521739130435
Document13;0.7777777777777778;0.6896551724137931;0.731070496083551
Document14;0.6190476190476191;0.48;0.5407279029462738
Document15;0.8333333333333334;0.7692307692307693;0.8
Document16;0.6666666666666666;0.5;0.5714285714285715
Document17;0.6666666666666666;0.6666666666666666;0.6666666666666666
Document18;0.7058823529411765;0.75;0.7272727272727272
Document19;0.8181818181818182;0.6428571428571429;0.7200000000000001
Document20;0.8148148148148148;0.8148148148148148;0.8148148148148148
Document21;0.75;0.8;0.7741935483870969
Document22;0.5625;0.5625;0.5625
Document23;0.46153846153846156;0.4;0.42857142857142855
Document24;0.6;0.4;0.48
Document25;0.6153846153846154;0.6666666666666666;0.64
Document26;0.5;0.5;0.5
Document27;0.6923076923076923;0.6428571428571429;0.6666666666666666
Document28;0.65;0.5416666666666666;0.5909090909090908
Document29;0.7692307692307693;0.6666666666666666;0.7142857142857142
Document30;0.6363636363636364;0.5384615384615384;0.5833333333333334
Document31;0.5454545454545454;0.5;0.5217391304347826
Document32;0.6666666666666666;0.6666666666666666;0.6666666666666666
Document33;0.6666666666666666;0.7272727272727273;0.6956521739130435
Document34;0.45454545454545453;0.45454545454545453;0.45454545454545453
Document35;0.625;0.5769230769230769;0.6
Document36;0.7058823529411765;0.6666666666666666;0.6857142857142857
Document37;0.5789473684210527;0.5789473684210527;0.5789473684210527
Document38;0.8571428571428571;0.6666666666666666;0.75
Document39;0.6111111111111112;0.6111111111111112;0.6111111111111112
