mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(LIMA Bulutangkis)-(STKIPAS Gulung ITB 4-1)]";false;true;false;false;false;true;false;OTHER;ORGANIZATION
"[(LIMA Bulutangkis)-(Tim)]";false;true;false;false;false;true;false;OTHER;PERSON
"[(LIMA Bulutangkis)-(putri STKIP Pasundan)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(STKIPAS)]";false;true;false;false;false;true;false;OTHER;ORGANIZATION
"[(LIMA Bulutangkis)-(mereka)]";false;true;false;false;true;true;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(raket)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(Liga Mahasiswa)]";false;true;false;false;false;true;false;OTHER;LOCATION
"[(LIMA Bulutangkis)-((LIMA)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(Tim)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(LIMA Bulutangkis)-(putri ITB)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(lutut)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(hasil akhir)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(pertandingan)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(sebelumnya,)]";false;false;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(tim putri STKIPAS)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(Universitas Budi Luhur)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(LIMA Bulutangkis)-(UBL)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(LIMA Bulutangkis)-(skor 3-2)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(Kemenangan tim putri STKIPAS ini,)]";false;false;false;false;false;false;false;OTHER;PERSON
"[(LIMA Bulutangkis)-(pertandingan pekan depan)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(tim unggulan Universitas Pendidikan Indonesia)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(UPI)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
"[(LIMA Bulutangkis)-(pelatih STKIPAS)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(Surya Medal,)]";false;false;false;false;false;false;false;OTHER;PERSON
"[(LIMA Bulutangkis)-(pihaknya)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(strategi)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(semua pemain)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(semua pemainnya)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(nuansa berbeda)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(pertandingan)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(saya)]";false;true;false;false;true;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(rotasi)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(pemain)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(kelemahan dan kelebihan)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(mereka,")]";false;false;false;false;true;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(Republika)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(LIMA Bulutangkis)-(Ahad)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(LIMA Bulutangkis)-(Pertandingan)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(LIMA Bulutangkis)-(partai pertama)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(putri)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(Awulan asal ITB)]";false;true;false;false;false;false;false;OTHER;PERSON
"[(LIMA Bulutangkis)-(gempuran smash Amelia)]";false;true;false;false;false;false;false;OTHER;OTHER
"[(LIMA Bulutangkis)-(STKIPAS)]";false;true;false;false;false;false;false;OTHER;ORGANIZATION
