Document;Precision;Recall;F-measure
Document0;0.13432835820895522;0.375;0.19780219780219782
Document1;0.0392156862745098;0.2222222222222222;0.06666666666666667
Document2;0.16470588235294117;0.5;0.24778761061946902
Document3;0.19298245614035087;0.39285714285714285;0.2588235294117647
Document4;0.109375;0.3333333333333333;0.16470588235294117
Document5;0.12;0.5;0.1935483870967742
Document6;0.06521739130434782;0.17647058823529413;0.09523809523809525
Document7;0.07692307692307693;0.3125;0.1234567901234568
Document8;0.10526315789473684;0.4;0.16666666666666666
Document9;0.09803921568627451;0.29411764705882354;0.14705882352941177
Document10;0.03571428571428571;0.2;0.06060606060606061
Document11;0.06666666666666667;0.18181818181818182;0.0975609756097561
Document12;0.05;0.25;0.08333333333333334
Document13;0.22058823529411764;0.5357142857142857;0.3125
Document14;0.15517241379310345;0.375;0.21951219512195125
Document15;0.14583333333333334;0.5384615384615384;0.22950819672131148
Document16;0.125;0.4;0.19047619047619047
Document17;0.07462686567164178;0.4166666666666667;0.12658227848101264
Document18;0.2222222222222222;0.375;0.27906976744186046
Document19;0.06060606060606061;0.3333333333333333;0.10256410256410256
Document20;0.17105263157894737;0.5;0.25490196078431376
Document21;0.1111111111111111;0.3333333333333333;0.16666666666666666
Document22;0.13333333333333333;0.375;0.19672131147540986
Document23;0.08823529411764706;0.21428571428571427;0.125
Document24;0.20689655172413793;0.4;0.2727272727272727
Document25;0.12;0.25;0.16216216216216217
Document26;0.21739130434782608;0.4166666666666667;0.2857142857142857
Document27;0.17073170731707318;0.5;0.2545454545454546
Document28;0.13513513513513514;0.4166666666666667;0.20408163265306126
Document29;0.09375;0.4;0.1518987341772152
Document30;0.14705882352941177;0.38461538461538464;0.21276595744680854
Document31;0.14705882352941177;0.4166666666666667;0.2173913043478261
Document32;0.125;0.5555555555555556;0.20408163265306123
Document33;0.10714285714285714;0.5454545454545454;0.1791044776119403
Document34;0.10638297872340426;0.45454545454545453;0.17241379310344826
Document35;0.07547169811320754;0.15384615384615385;0.10126582278481013
Document36;0.15217391304347827;0.4117647058823529;0.2222222222222222
Document37;0.13043478260869565;0.47368421052631576;0.20454545454545456
Document38;0.14285714285714285;0.3333333333333333;0.2
Document39;0.15555555555555556;0.3888888888888889;0.22222222222222218
