mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(Perdana Menteri Inggris)-(David Cameron)]";false;true;false;false;false;true;false;PERSON;PERSON
"[(Perdana Menteri Inggris)-(Jakarta)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Perdana Menteri Inggris)-(Joko Widodo)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(Perdana Menteri Inggris)-(Istana Negara)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(Perdana Menteri Inggris)-(Presiden Jokowi)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Perdana Menteri Inggris)-(kunjungan PM Inggris)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Perdana Menteri Inggris)-(5 hari)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(David Cameron)-(Jakarta)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(David Cameron)-(Joko Widodo)]";false;true;false;false;false;false;false;PERSON;PERSON
"[(David Cameron)-(Istana Negara)]";false;true;false;false;false;false;false;PERSON;LOCATION
"[(David Cameron)-(Presiden Jokowi)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(David Cameron)-(kunjungan PM Inggris)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(David Cameron)-(5 hari)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Jakarta)-(Joko Widodo)]";false;true;false;false;false;false;false;LOCATION;PERSON
"[(Jakarta)-(Istana Negara)]";false;true;false;false;false;false;false;LOCATION;LOCATION
"[(Jakarta)-(Presiden Jokowi)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Jakarta)-(kunjungan PM Inggris)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Jakarta)-(5 hari)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Joko Widodo)-(Istana Negara)]";false;true;false;false;false;true;false;PERSON;LOCATION
"[(Joko Widodo)-(Presiden Jokowi)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Joko Widodo)-(kunjungan PM Inggris)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Joko Widodo)-(5 hari)]";false;true;false;false;false;false;false;PERSON;OTHER
"[(Istana Negara)-(Presiden Jokowi)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Istana Negara)-(kunjungan PM Inggris)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Istana Negara)-(5 hari)]";false;true;false;false;false;false;false;LOCATION;OTHER
"[(Presiden Jokowi)-(kunjungan PM Inggris)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(Presiden Jokowi)-(5 hari)]";false;true;false;false;false;true;false;OTHER;OTHER
"[(kunjungan PM Inggris)-(5 hari)]";false;true;false;false;false;true;false;OTHER;OTHER
