TopicWeight;CorefThreshold;Precision;Recall;Fmeasure
0.16;0.0;0.20544532266657572;0.20955350598808659;0.20539318168665538
0.16;0.01;0.20637124859250164;0.21059517265475325;0.20637357384351812
0.16;0.02;0.20637124859250164;0.21059517265475325;0.20637357384351812
0.16;0.03;0.20637124859250164;0.21059517265475325;0.20637357384351812
0.16;0.04;0.20637124859250164;0.21059517265475325;0.20637357384351812
0.16;0.05;0.20756172478297782;0.21152109858067916;0.20741524051018478
0.16;0.06;0.2089506136718667;0.21327548454559148;0.20896562810708402
0.16;0.07;0.2089506136718667;0.21327548454559148;0.20896562810708402
0.16;0.08;0.2089506136718667;0.21327548454559148;0.20896562810708402
0.16;0.09;0.21014108986234292;0.2144659607360677;0.21015610429756024
0.16;0.1;0.21014108986234292;0.2144659607360677;0.21015610429756024
0.16;0.11;0.2107583738129602;0.21519059841722712;0.21082277096422689
0.16;0.12;0.2107583738129602;0.21519059841722712;0.21082277096422689
0.16;0.13;0.21302081725187422;0.21728210168520096;0.21299363931156584
0.16;0.14;0.21302081725187422;0.21728210168520096;0.21299363931156584
0.16;0.15;0.2147752032167865;0.21903648765011324;0.2147480252764781
0.16;0.16;0.21829372173530504;0.223282519396145;0.21853030080538033
0.16;0.17;0.2193353884019717;0.22432418606281165;0.219571967472047
0.16;0.18;0.22026131432789767;0.22536585272947832;0.22055235962890973
0.16;0.19;0.22026131432789767;0.22536585272947832;0.22055235962890973
0.16;0.2;0.22026131432789767;0.22536585272947832;0.22055235962890973
0.16;0.21;0.22026131432789767;0.22536585272947832;0.22055235962890973
0.16;0.22;0.22445424149876597;0.22950726687089246;0.22467036348884908
0.16;0.23;0.22692676897129344;0.23230446966809526;0.22729382027897252
0.16;0.24;0.22803788008240453;0.23341558077920638;0.22843667742182963
0.16;0.25;0.22999866439613;0.23563780300142861;0.23052001075516296
0.16;0.26;0.23383638369437562;0.23914657493125316;0.23422777315082552
0.16;0.27;0.23383638369437562;0.23914657493125316;0.23422777315082552
0.16;0.28;0.24572220499204175;0.24986524996107382;0.24544200150156975
0.16;0.29;0.2438703531401899;0.24986524996107382;0.24396052002008828
0.16;0.3;0.2438703531401899;0.24986524996107382;0.24396052002008828
0.16;0.31;0.2463703531401899;0.252806426431662;0.24666322272279098
0.16;0.32;0.2480808794559794;0.2545169527474515;0.24837374903858045
0.16;0.33;0.24895807243843554;0.25535028608078486;0.2492284498932813
0.16;0.34;0.26086594669925095;0.2651185570255264;0.2598549659067942
0.16;0.35;0.2713108088546394;0.27644365006114563;0.270622220095101
0.16;0.36;0.27298564545594667;0.2784319541547129;0.2724430684705523
0.16;0.37;0.2767985609355288;0.28261271099851315;0.27637589570772736
0.16;0.38;0.2810884523306834;0.2872444827355481;0.2808245172616121
0.16;0.39;0.29361877123900043;0.30148610416395444;0.29410669720625854
0.16;0.4;0.297445699671192;0.3054046076877211;0.29797771734920847
0.16;0.41;0.30078895363944597;0.30923457401768745;0.30152601074063917
0.16;0.42;0.3067190566748122;0.3171477865361631;0.3080348425807155
0.16;0.43;0.3209565294416966;0.3336215048113519;0.32334437758014817
0.16;0.44;0.3254316060220363;0.33906940486451514;0.3281877541374835
0.16;0.45;0.3404183607035682;0.3559323172788982;0.3440541905493951
0.16;0.46;0.34859164112684854;0.36454528519333673;0.3524225816076025
0.16;0.47;0.3522093659945734;0.3696923440168661;0.35666908682925935
0.16;0.48;0.3584550416152491;0.37901590544569075;0.3642512409733952
0.16;0.49;0.3693684629891968;0.388861953647002;0.37454266490584
0.16;0.5;0.37586293992227016;0.3957018795487128;0.38114825295002447
0.16;0.51;0.3895979514707492;0.4082449288197033;0.39439989227141253
0.16;0.52;0.40170969156631;0.42056191542873794;0.4065009112853871
0.16;0.53;0.41225288983977143;0.43108264126293133;0.41686797169504813
0.16;0.54;0.4274866032081598;0.44621861468063845;0.4321166907511189
0.16;0.55;0.4408299419681652;0.4630914924982934;0.4471371788619359
0.16;0.56;0.4534504310469877;0.47701501190774637;0.46037029735294954
0.16;0.57;0.4760609196868881;0.5013431674123725;0.4835545600833016
0.16;0.58;0.4834987306989046;0.508912610614808;0.49103415837497877
0.16;0.59;0.4929570783654566;0.516222969101637;0.4992948551652544
0.16;0.6;0.506133902223991;0.5307943764848295;0.5132561498430969
0.16;0.61;0.5232799237233352;0.5432039556864567;0.5286670550983453
0.16;0.62;0.5366709939915986;0.5586894793864946;0.5430132653360505
0.16;0.63;0.543531200062331;0.5677639448676939;0.5509399892415832
0.16;0.64;0.5553865363690659;0.5773599258704086;0.5614971513353484
0.16;0.65;0.565936348399141;0.5879418415181138;0.5719809794378317
0.16;0.66;0.5810382817079218;0.6085167872514758;0.5895944844071617
0.16;0.67;0.591994655485503;0.6207753748970604;0.600964202086663
0.16;0.68;0.6015268192281931;0.631020073653756;0.6108465941912165
0.16;0.69;0.6148955082603005;0.644596355043505;0.624287356071523
0.16;0.7;0.6286873181998032;0.6600257153899134;0.6388118528983608
0.16;0.71;0.6360495316036833;0.6696624796479255;0.6472763316762635
0.16;0.72;0.6421682052921341;0.6765392517549605;0.6537208493500262
0.16;0.73;0.645278414893216;0.6786857164014253;0.65642124033234
0.16;0.74;0.6607052337640003;0.6959096644806366;0.6727607991610592
0.16;0.75;0.6769696756631173;0.7132827543537265;0.6895488351464346
0.16;0.76;0.6809156267756061;0.7171148873947032;0.6933018026006543
0.16;0.77;0.6840110969324796;0.7220857267405425;0.6971719939322883
0.16;0.78;0.698913572603262;0.7366220469018625;0.7117529858380294
0.16;0.79;0.708121504176691;0.7481685164998026;0.7218565234225914
0.16;0.8;0.7162628065065897;0.7579415443978305;0.7307089873034348
0.16;0.81;0.7212741850671966;0.7632321334384196;0.735944699100261
0.16;0.82;0.7252567913947519;0.7656346675514799;0.7392046508911629
0.16;0.83;0.7262371835516146;0.7667457786625911;0.7402463175578297
0.16;0.84;0.7260009463588557;0.7661373130541255;0.7398291212220276
0.16;0.85;0.7278759463588557;0.7682288163220993;0.7418052909401328
0.16;0.86;0.7264266709965369;0.7663769644702475;0.7401792746799702
0.16;0.87;0.7260563006261666;0.7661942159322358;0.7399503586369023
0.16;0.88;0.7271674117372776;0.7670714089146919;0.7409307507937651
0.16;0.89;0.7271674117372776;0.7670714089146919;0.7409307507937651
0.16;0.9;0.7260563006261666;0.7661942159322358;0.7399503586369023
0.16;0.91;0.7241713799912459;0.7639719937100136;0.7379107315972753
0.16;0.92;0.7230602688801347;0.7627815175195374;0.736761306309919
0.16;0.93;0.7230602688801347;0.7627815175195374;0.736761306309919
0.16;0.94;0.7230602688801347;0.7627815175195374;0.736761306309919
0.16;0.95;0.7230602688801347;0.7627815175195374;0.736761306309919
0.16;0.96;0.7230602688801347;0.7627815175195374;0.736761306309919
0.16;0.97;0.7230602688801347;0.7627815175195374;0.736761306309919
0.16;0.98;0.7230602688801347;0.7627815175195374;0.736761306309919
0.16;0.99;0.7230602688801347;0.7627815175195374;0.736761306309919
0.16;1.0;0.7230602688801347;0.7627815175195374;0.736761306309919
